"y","z","w","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23"
1713,3400,170,6,4.2,27.0,4.0,1,179,4200,4980,700.9,15.1,42,22.5,14.8,179,0.50,850,8.0,5.0,6,28,11,16,1.52
344,1616,101,3,3.4,20.0,5.0,1,133,2255,2672,751.5,16.7,30,32.0,18.8,133,0.25,800,7.5,3.0,10,25,7,14,1.70
474,2240,140,3,3.4,28.0,5.0,1,116,2396,3259,798.8,17.0,24,24.6,15.0,116,0.25,800,9.0,4.0,10,28,9,14,1.65
1336,5700,190,15,7.0,26.0,3.5,1,344,12284,9864,818.9,16.0,86,20.2,21.1,344,0.75,850,8.5,6.5,12,28,19,18,1.72
1916,9125,365,18,5.6,26.5,3.5,2,307,15435,8140,852.5,12.4,68,30.0,13.2,540,0.50,600,6.5,7.0,15,25,12,18,1.75
1280,11980,599,9,2.1,28.3,4.0,1,283,8064,8156,896.0,14.0,68,25.3,14.3,283,0.25,800,7.5,6.5,14,30,20,16,1.80
1683,6390,213,12,7.9,29.0,3.5,1,361,11364,10486,947.0,13.4,87,22.7,14.0,361,0.75,800,9.0,7.0,10,30,25,18,1.42
901,2656,166,6,5.4,29.5,4.5,1,193,5592,5696,932.0,14.8,39,20.5,16.0,193,0.50,850,9.5,5.5,10,30,15,16,1.20
460,2943,150,3,3.0,30.0,5.0,1,118,2943,3540,981.0,17.2,26,26.0,20.1,118,0.25,600,10.0,4.0,10,25,8,14,1.30
826,3340,167,6,4.9,29.8,4.5,1,211,6000,6293,1000.0,15.1,50,32.0,20.0,211,0.50,600,9.5,5.0,10,25,13,16,1.90
